text,retweet_count,reply_count,tweet_id,tweet_coord,latitudes,longitudes,tweet_created_date,tweet_created_time
"@AmericanAir , I was told my flights 2516 &amp; 2244 was Cancelled Flightled. But I don't seem to have any date/time changes. I've been waiting for a call",2,25,569832383991525377,"[27.69540747, -97.34836874]",27.69540747,-97.34836874,2015-02-23,4:13:21
@AmericanAir .. UMM hello?,0,19,569839118093398016,"[27.69523415, -97.34856142]",27.69523415,-97.34856142,2015-02-23,4:40:07
"@AmericanAir 's computer systems are down, can't leave without a flight plan! Any ETA, American air?",3,28,569645350379757568,"[35.2176668, -80.9426912]",35.2176668,-80.9426912,2015-02-22,15:50:09
"@AmericanAir @Active_Aly thx. We have already been on the iberia website, and seat reservation is unavailable. Hopefully we can call them.",2,37,569841254655270912,"[25.8058716, -80.1255332]",25.8058716,-80.1255332,2015-02-23,4:48:36
@AmericanAir @Nashinmypants lmao this is so funny,0,16,569736283326586880,"[33.5333555, -112.1827159]",33.5333555,-112.1827159,2015-02-22,21:51:29
@AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus),1,50,570292403309035520,"[32.82813261, -97.25115941]",32.82813261,-97.25115941,2015-02-24,10:41:19
@AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus),1,42,570292403309035520,"[32.82813261, -97.25115941]",32.82813261,-97.25115941,2015-02-24,10:41:19
@AmericanAir @RLDelahunty record l#oaaret got email we couldn't get rescheduled on another flight but don't know if flight is Cancelled Flightled,0,6,569880005729067008,"[37.93663309, -107.81820588]",37.93663309,-107.8182059,2015-02-23,7:22:35
"@AmericanAir #AmericanView
The view of Oregon from seat 31F, flight AA1469 2/22/15 http://t.co/t9JBN9WZtq",2,2,569925940224139264,"[30.441566, -84.281745]",30.441566,-84.281745,2015-02-23,10:25:07
@AmericanAir #horriblecustomerservice # rudestaff # incompetentmanagers,0,40,569866310793826304,"[33.9424824, -118.4066757]",33.9424824,-118.4066757,2015-02-23,6:28:10
